customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,owns_car,tenure,age,address,postcode,state,country,property_valuation
17,Heath,Faraday,Male,57,1962-03-19,Sales Associate,Property,Affluent Customer,Yes,15,61,82391 Kensington Lane,3058,VIC,Australia,9
18,Marjie,Neasham,Female,79,1967-07-06,Professor,Financial Services,Affluent Customer,No,11,55,092 2nd Alley,2135,NSW,Australia,12
19,Sorcha,Keyson,Female,76,2001-04-15,Geological Engineer,Manufacturing,High Net Worth,No,1,22,59 Spaight Circle,2233,NSW,Australia,9
20,Basile,Firth,Male,72,1980-08-13,Project Manager,Manufacturing,Mass Customer,No,11,42,032 Bartelt Crossing,2444,NSW,Australia,8
21,Mile,Cammocke,Male,74,1980-09-20,Safety Technician I,Manufacturing,Affluent Customer,Yes,16,42,18 Jenna Center,2650,NSW,Australia,7
24,Kim,Skpsey,Female,55,1977-12-03,Research Assistant I,Argiculture,Mass Customer,Yes,15,45,3 Cordelia Plaza,2153,NSW,Australia,10
25,Geoff,Assaf,Male,72,1976-12-02,Accounting Assistant III,Financial Services,Mass Customer,Yes,21,46,28 5th Center,4413,QLD,Australia,3
26,Trixi,Ginnelly,Female,12,1978-06-10,Editor,Financial Services,Mass Customer,Yes,16,44,52 Carey Alley,4740,QLD,Australia,5
27,Garvin,Klees,Male,37,1978-09-25,Research Nurse,Health,Mass Customer,Yes,12,44,96 Texas Plaza,3218,VIC,Australia,7
28,Fee,Zellmer,Male,5,1973-09-30,Senior Quality Engineer,Health,Affluent Customer,Yes,21,49,48 Eagan Avenue,4868,QLD,Australia,4
29,Mona,Sancraft,Female,62,1968-06-22,Safety Technician III,Manufacturing,Mass Customer,No,19,54,9 Buell Park,4116,QLD,Australia,7
30,Darrick,Helleckas,Male,18,1961-10-18,Legal Assistant,IT,Affluent Customer,Yes,6,61,02663 Buell Parkway,2519,NSW,Australia,11
31,Star,Praton,Female,3,1962-11-24,Staff Accountant III,Telecommunications,High Net Worth,Yes,14,60,2294 Pleasure Place,2135,NSW,Australia,12
32,Marion,Vanichkin,Female,17,1995-04-20,Legal Assistant,Manufacturing,Affluent Customer,No,4,28,2951 Petterle Place,2756,NSW,Australia,9
33,Ernst,Hacon,Male,44,1957-06-25,Product Engineer,Financial Services,Affluent Customer,Yes,11,65,63 Lukken Drive,2170,NSW,Australia,9
35,Margaretha,Strettle,Female,40,1963-09-28,Information Systems Manager,Health,High Net Worth,Yes,16,59,34 Russell Plaza,4127,QLD,Australia,6
36,Lurette,Stonnell,Female,33,1977-11-09,VP Quality Control,Argiculture,Affluent Customer,No,22,45,78 Del Sol Hill,2535,NSW,Australia,8
37,Laurie,Dwerryhouse,Female,46,1985-12-22,Social Worker,Health,High Net Worth,No,16,37,54 Sage Plaza,4726,QLD,Australia,1
38,Cordi,Merman,Female,37,1955-10-29,Senior Cost Accountant,Financial Services,Affluent Customer,No,20,67,90 Lawn Parkway,4805,QLD,Australia,4
39,Hunfredo,Smalley,Male,5,1979-04-16,Assistant Media Planner,Entertainment,Mass Customer,No,22,44,38726 Ilene Crossing,2212,NSW,Australia,10
40,Tomasine,Jerche,Female,91,1981-10-27,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,No,14,41,3496 Brown Drive,2207,NSW,Australia,8
41,Basilius,Coupe,Male,64,1976-04-14,Food Chemist,Health,Mass Customer,No,16,47,7188 Cody Way,3350,VIC,Australia,9
42,Chiquita,Durnall,Female,24,1977-03-28,Accountant III,Manufacturing,Mass Customer,No,18,46,1 Claremont Park,3931,VIC,Australia,10
43,Indira,Belt,Female,38,1983-03-01,Director of Sales,Retail,Mass Customer,No,5,40,60 Eagan Circle,4018,QLD,Australia,8
44,Neron,Verick,Male,63,1981-10-18,Assistant Media Planner,Entertainment,Affluent Customer,Yes,17,41,89314 Eagle Crest Center,4670,QLD,Australia,2
45,Trace,Woodhead,Male,64,1975-09-23,Senior Financial Analyst,Financial Services,Mass Customer,No,8,47,2028 Lakewood Place,2480,NSW,Australia,3
47,Matthew,Jeaycock,Male,51,1992-10-22,Registered Nurse,Health,Affluent Customer,No,2,30,543 Killdeer Park,2322,NSW,Australia,4
48,Rebbecca,Casone,Female,46,1975-08-15,Biostatistician II,Manufacturing,Mass Customer,Yes,8,47,22125 Ramsey Drive,3198,VIC,Australia,9
49,Nolly,Ownsworth,Male,63,1994-01-26,VP Quality Control,Argiculture,Affluent Customer,No,1,29,3107 Calypso Terrace,2210,NSW,Australia,9
50,Whitby,Schapero,Male,38,1980-10-01,Account Executive,Manufacturing,Mass Customer,Yes,16,42,957 Veith Junction,2047,NSW,Australia,10
51,Fidelio,Dilke,Male,68,1959-12-05,Computer Systems Analyst II,Retail,Mass Customer,No,18,63,4853 Gulseth Avenue,4503,QLD,Australia,5
52,Curran,Bentson,Male,57,1988-06-22,Senior Financial Analyst,Financial Services,Mass Customer,Yes,13,34,9 Michigan Terrace,2145,NSW,Australia,8
53,Agnella,Gocke,Female,22,1954-04-18,Software Test Engineer II,Financial Services,Mass Customer,No,16,69,62 Steensland Road,4350,QLD,Australia,3
54,Loralyn,Wonfor,Female,2,1966-07-24,Sales Associate,Property,Mass Customer,Yes,18,56,6 Homewood Avenue,2142,NSW,Australia,8
55,Linc,Jillions,Male,48,1956-09-24,Paralegal,Financial Services,Affluent Customer,Yes,7,66,15 Almo Lane,2029,NSW,Australia,10
56,Reese,Ensor,Male,44,1996-07-04,VP Sales,Property,Mass Customer,Yes,4,26,690 Glacier Hill Circle,2127,NSW,Australia,10
57,Abba,Masedon,Male,87,1988-06-13,Chief Design Engineer,Retail,Mass Customer,Yes,13,34,89787 Village Green Terrace,4280,QLD,Australia,6
58,Dalenna,Pinnock,Female,26,1967-07-04,Office Assistant III,Financial Services,Affluent Customer,Yes,17,55,18 Elgar Park,2166,NSW,Australia,9
59,Niki,Heathcote,Male,60,2000-02-08,Physical Therapy Assistant,Property,High Net Worth,No,3,23,413 Mayer Street,2046,NSW,Australia,9
60,Nadiya,Champerlen,Female,18,1970-02-04,Account Executive,Manufacturing,Mass Customer,No,10,53,39 3rd Drive,2026,NSW,Australia,10
61,Kacey,Rowbottom,Female,47,1959-11-29,Help Desk Operator,Property,High Net Worth,No,13,63,44516 Katie Parkway,2765,NSW,Australia,7
62,Sorcha,Roggers,Female,38,1979-07-06,Legal Assistant,IT,Mass Customer,Yes,22,43,41 Schurz Center,2749,NSW,Australia,8
63,Ebony,Zini,Female,58,1965-07-03,Senior Quality Engineer,Retail,Mass Customer,Yes,16,57,68150 Boyd Road,2745,NSW,Australia,9
64,Gerek,Yve,Male,73,1978-03-25,Legal Assistant,IT,High Net Worth,No,4,45,11474 Westend Hill,3752,VIC,Australia,8
65,Yale,Tanser,Male,21,1976-04-01,Information Systems Manager,Financial Services,Affluent Customer,Yes,15,47,308 Jana Crossing,2153,NSW,Australia,10
66,Anselm,Gawne,Male,46,2002-03-11,Account Executive,Argiculture,High Net Worth,No,1,21,163 Straubel Trail,2217,NSW,Australia,10
67,Vernon,Vernon,Male,67,1960-06-14,Web Developer II,Retail,Mass Customer,No,18,62,68294 Clarendon Crossing,2230,NSW,Australia,10
68,Dahlia,Eddoes,Female,37,1974-04-21,Information Systems Manager,Financial Services,Affluent Customer,No,9,49,486 Mariners Cove Plaza,3046,VIC,Australia,7
69,Heidi,Milner,Female,16,1969-06-22,Web Developer II,Retail,Mass Customer,No,6,53,0322 Dryden Court,3183,VIC,Australia,7
70,Foster,Vannoort,Male,78,1993-02-27,Paralegal,Financial Services,Affluent Customer,No,8,30,9 Bonner Road,2070,NSW,Australia,12
71,Hoyt,Glavias,Male,30,1985-01-27,Research Associate,Argiculture,Affluent Customer,Yes,12,38,07041 Briar Crest Lane,2213,NSW,Australia,10
72,Sammy,Cheese,Male,93,1972-02-13,Administrative Officer,Manufacturing,Affluent Customer,Yes,16,51,29466 Hanson Pass,4208,QLD,Australia,6
73,Minette,Worters,Female,16,1960-05-27,Teacher,Entertainment,Affluent Customer,Yes,5,62,0212 Forest Run Trail,2774,NSW,Australia,8
75,Dollie,Sealy,Female,28,1978-07-15,VP Product Management,Property,Mass Customer,No,19,44,4763 Merchant Avenue,2756,NSW,Australia,8
76,Rea,Hasser,Female,20,1978-01-23,Statistician II,Retail,High Net Worth,Yes,18,45,439 Ridgeway Court,4213,QLD,Australia,9
77,Shermie,Andrin,Male,79,1989-09-12,Automation Specialist IV,Financial Services,Mass Customer,No,7,33,2 Clyde Gallagher Lane,4170,QLD,Australia,5
78,Arch,Van der Kruis,Male,37,1985-03-12,Business Systems Development Analyst,Argiculture,Affluent Customer,No,8,38,97455 Loeprich Lane,2153,NSW,Australia,9
79,Tybi,Silliman,Female,76,1968-10-02,Account Executive,Manufacturing,Mass Customer,No,18,54,9527 Ridgeway Street,2073,NSW,Australia,10
80,Pablo,Small,Male,11,1978-04-24,Data Coordiator,Entertainment,Mass Customer,No,13,45,7 Jackson Point,3561,VIC,Australia,1
81,Bee,Blazewicz,Female,58,1986-09-04,Registered Nurse,Health,High Net Worth,No,13,36,74 Anniversary Junction,2330,NSW,Australia,6
82,Gleda,Cokely,Female,93,1965-06-28,Software Test Engineer III,Property,High Net Worth,No,19,57,2083 Spaight Court,3977,VIC,Australia,8
83,Kerr,Simmell,Male,97,1967-02-26,Internal Auditor,IT,Mass Customer,Yes,18,56,2796 Caliangt Circle,2204,NSW,Australia,12
84,Rich,Mathiasen,Male,78,1958-02-07,Accountant III,Manufacturing,Mass Customer,Yes,14,65,96061 Ludington Place,2086,NSW,Australia,11
85,Kane,Tixall,Male,1,1958-05-21,Analyst Programmer,Financial Services,Mass Customer,No,8,65,5037 Merchant Crossing,2226,NSW,Australia,11
86,Job,Sleney,Male,75,1989-03-04,Occupational Therapist,Health,High Net Worth,Yes,7,34,289 Haas Street,2075,NSW,Australia,11
87,Fields,Langdon,Male,78,1974-04-23,Editor,Financial Services,Mass Customer,No,8,49,4423 Bartelt Parkway,2038,NSW,Australia,12
88,Malynda,Tumber,Female,41,1966-02-03,Help Desk Operator,Property,High Net Worth,Yes,7,57,5 Grim Center,2069,NSW,Australia,12
89,Benedicto,Hoxey,Male,74,1967-01-22,Speech Pathologist,Health,Mass Customer,Yes,14,56,73042 Roth Crossing,2100,NSW,Australia,11
90,Cary,Garron,Male,76,1984-11-12,Quality Control Specialist,Manufacturing,Mass Customer,No,11,38,171 Fordem Junction,2233,NSW,Australia,10
91,Dylan,Meaker,Male,69,1955-02-24,Senior Financial Analyst,Financial Services,Affluent Customer,Yes,17,68,2640 Manley Point,2166,NSW,Australia,9
92,Jodee,Judkins,Female,98,1980-09-11,Recruiting Manager,Health,Mass Customer,No,12,42,3 Hintze Pass,3133,VIC,Australia,10
93,Gordon,Gowar,Male,63,1976-07-16,Project Manager,Retail,Mass Customer,Yes,10,46,2 Mcbride Road,3070,VIC,Australia,10
94,Wallache,Simchenko,Male,33,1974-08-07,Civil Engineer,Manufacturing,Mass Customer,No,21,48,67234 Transport Hill,2777,NSW,Australia,7
95,Nomi,Mallinder,Female,67,1960-12-25,Software Engineer III,Manufacturing,Affluent Customer,Yes,8,62,72 Dorton Crossing,3133,VIC,Australia,10
96,Heath,Olford,Male,33,1968-08-31,Nuclear Power Engineer,Manufacturing,Mass Customer,No,15,54,6 Heffernan Center,2125,NSW,Australia,11
97,Arne,Corain,Male,16,1979-07-27,Community Outreach Specialist,Financial Services,Mass Customer,Yes,10,43,6088 Roxbury Hill,2766,NSW,Australia,8
98,Allianora,Babalola,Female,19,1956-03-17,Safety Technician IV,Health,Mass Customer,No,7,67,105 Shelley Alley,2209,NSW,Australia,10
99,Reggie,Mulliner,Male,97,1998-06-13,VP Accounting,Financial Services,Mass Customer,No,3,24,079 Merry Park,2160,NSW,Australia,9
100,Tripp,Steed,Male,80,1968-05-11,General Manager,Financial Services,Mass Customer,Yes,4,55,8722 Summit Alley,2065,NSW,Australia,12
101,Goran,Kwietek,Male,83,1975-12-29,Nurse Practicioner,Manufacturing,High Net Worth,No,11,47,9554 Artisan Pass,2150,NSW,Australia,10
102,Langsdon,Tranfield,Male,51,1956-11-27,Quality Control Specialist,Manufacturing,Affluent Customer,No,16,66,55850 Butterfield Road,2168,NSW,Australia,9
103,Ethyl,Runham,Female,49,1997-04-21,Product Engineer,Financial Services,Affluent Customer,Yes,4,26,68 Little Fleur Crossing,2046,NSW,Australia,12
104,Odille,Panketh,Female,40,1978-06-06,Automation Specialist II,Health,Mass Customer,Yes,9,44,85688 New Castle Crossing,4171,QLD,Australia,10
105,Maribeth,Pristnor,Female,25,2001-09-17,Recruiting Manager,Manufacturing,Mass Customer,No,1,21,8611 Loomis Lane,2155,NSW,Australia,10
106,Glyn,Glyn,Male,54,1966-07-03,Software Test Engineer III,Health,High Net Worth,Yes,18,56,7909 Pierstorff Crossing,2517,NSW,Australia,9
107,Pris,Stallebrass,Female,97,1990-07-01,Nurse Practicioner,Financial Services,Mass Customer,Yes,9,32,01 Muir Parkway,2096,NSW,Australia,12
109,Cody,Blabey,Male,16,1978-12-11,Marketing Assistant,Retail,Affluent Customer,Yes,4,44,41 Service Lane,2217,NSW,Australia,11
110,Sascha,St. Quintin,Male,23,2000-07-31,Nurse Practicioner,Financial Services,Affluent Customer,No,1,22,5 Moose Road,3977,VIC,Australia,8
111,Cele,Evason,Female,65,1993-08-29,Analyst Programmer,Financial Services,Mass Customer,No,2,29,7342 Fieldstone Junction,2093,NSW,Australia,12
112,Shena,Parren,Female,88,1975-08-12,Marketing Manager,Retail,High Net Worth,No,12,47,0 David Terrace,3204,VIC,Australia,11
113,Gage,Nickless,Male,67,1956-05-06,Staff Scientist,Property,Mass Customer,No,20,67,15239 Northwestern Point,4300,QLD,Australia,4
114,Sunny,Swindells,Female,10,1985-10-23,Teacher,Entertainment,Affluent Customer,No,8,37,60 Oneill Street,2170,NSW,Australia,9
115,Alberik,Mereweather,Male,77,1981-12-21,Account Executive,Health,Mass Customer,No,18,41,8194 Sachtjen Drive,3844,VIC,Australia,1
116,Scottie,Swiffen,Male,49,1999-02-05,Assistant Professor,Manufacturing,Affluent Customer,Yes,2,24,0349 Farmco Terrace,2168,NSW,Australia,8
117,Nance,Suttling,Female,75,1982-02-23,Marketing Manager,Manufacturing,Mass Customer,No,15,41,185 Pennsylvania Way,4226,QLD,Australia,6
118,Prentice,Pearmain,Male,43,1959-11-12,Budget/Accounting Analyst IV,Entertainment,High Net Worth,No,19,63,432 Longview Circle,3192,VIC,Australia,10
119,Willey,Chastanet,Male,9,1981-12-04,Associate Professor,Financial Services,High Net Worth,Yes,9,41,5814 Bunker Hill Street,3070,VIC,Australia,7
120,Sloan,Wagg,Male,80,1978-09-02,Legal Assistant,Financial Services,High Net Worth,Yes,4,44,7 Carberry Crossing,2485,NSW,Australia,2
121,Myles,Pauncefort,Male,82,1957-10-02,Graphic Designer,Manufacturing,Mass Customer,No,15,65,53 Talisman Trail,2097,NSW,Australia,9
122,Colver,Itter,Male,87,1979-04-19,Quality Control Specialist,Financial Services,Mass Customer,Yes,12,44,5 Prairie Rose Road,4817,QLD,Australia,2
123,Almeta,Kalinsky,Female,85,1988-12-03,Analyst Programmer,Financial Services,High Net Worth,No,15,34,84 Florence Parkway,2516,NSW,Australia,8
124,Kath,Cunney,Female,27,1995-05-03,Administrative Assistant II,Health,High Net Worth,Yes,5,28,739 Elmside Way,3074,VIC,Australia,8
125,Darrelle,Antoniewski,Female,94,1960-03-17,Computer Systems Analyst II,Property,Mass Customer,No,16,63,684 Northport Circle,2213,NSW,Australia,10
126,Norman,Cliff,Male,53,1992-10-15,Administrative Officer,Health,Mass Customer,Yes,3,30,8 Hagan Hill,4508,QLD,Australia,4
127,Merrili,Whitear,Female,81,1974-12-03,Compensation Analyst,Financial Services,Mass Customer,No,19,48,0 Pearson Crossing,4405,QLD,Australia,1
128,Isidro,Cypler,Male,73,1977-07-17,Systems Administrator III,Property,Mass Customer,Yes,12,45,10918 Merry Way,2452,NSW,Australia,5
129,Weidar,Silkstone,Male,64,1985-07-20,Financial Advisor,Financial Services,High Net Worth,Yes,19,37,97 Coolidge Trail,2142,NSW,Australia,9
130,Raddy,Delete,Male,32,1997-07-18,Chemical Engineer,Manufacturing,Mass Customer,No,1,25,58 Helena Hill,2205,NSW,Australia,7
131,Jana,Renyard,Female,57,1964-10-16,Administrative Officer,Retail,High Net Worth,No,8,58,352 Forster Place,4132,QLD,Australia,3
132,Celesta,Willavoys,Female,5,1963-07-07,Web Designer I,Manufacturing,Mass Customer,Yes,9,59,12306 Lawn Street,2145,NSW,Australia,8
133,Eldridge,Fiddeman,Male,12,1977-06-13,VP Accounting,Financial Services,Mass Customer,Yes,16,45,19392 7th Trail,4744,QLD,Australia,1
134,Merna,McCulloch,Female,34,1997-08-01,Legal Assistant,Telecommunications,Affluent Customer,Yes,5,25,1605 Northfield Junction,2158,NSW,Australia,11
135,Rosalia,Sigart,Female,18,1975-01-18,Internal Auditor,IT,Mass Customer,No,3,48,9674 Graceland Junction,3201,VIC,Australia,6
136,Mel,Bennet,Male,46,1973-05-26,Senior Developer,Manufacturing,High Net Worth,Yes,7,49,638 Thackeray Junction,4178,QLD,Australia,3
137,Vaughn,Artin,Male,27,1987-11-21,Office Assistant II,Property,High Net Worth,No,10,35,869 Forster Circle,2112,NSW,Australia,10
138,Onofredo,Franc,Male,5,1985-04-28,Recruiter,Financial Services,Affluent Customer,Yes,13,38,0 Golden Leaf Crossing,2033,NSW,Australia,9
139,Gar,Gar,Male,1,1964-07-28,Operator,Telecommunications,Affluent Customer,No,4,58,215 Lindbergh Trail,4401,QLD,Australia,1
140,Morrie,Flaxon,Male,9,1994-05-20,Programmer Analyst III,Manufacturing,Mass Customer,No,2,28,829 Washington Crossing,3186,VIC,Australia,9
141,Townsend,Trobe,Male,67,1954-06-25,Teacher,Financial Services,High Net Worth,Yes,10,68,585 Loomis Court,2097,NSW,Australia,11
142,Bentley,Fortesquieu,Male,57,1967-08-07,Quality Engineer,Health,Affluent Customer,No,17,55,68063 Blue Bill Park Center,3058,VIC,Australia,9
143,Kendall,Figg,Male,19,1957-09-01,Operator,Argiculture,Mass Customer,Yes,11,65,15673 Farmco Point,4017,QLD,Australia,6
145,Filippo,Ferrara,Male,33,1997-07-21,Account Executive,Financial Services,Mass Customer,No,4,25,7245 Cottonwood Center,2285,NSW,Australia,5
146,Ricoriki,Matlock,Male,34,1985-04-08,Quality Control Specialist,Manufacturing,Mass Customer,No,8,38,20382 Spohn Alley,2219,NSW,Australia,11
147,Rea,Pattrick,Female,32,1973-12-06,Analog Circuit Design manager,Health,Mass Customer,Yes,10,49,12375 Cambridge Pass,2065,NSW,Australia,11
148,Jaquith,Maffey,Female,69,1981-05-08,Programmer Analyst III,Manufacturing,Mass Customer,Yes,5,42,03 Granby Parkway,3216,VIC,Australia,8
149,Drucy,Kausche,Female,41,1995-01-31,Research Nurse,Health,Mass Customer,Yes,1,28,939 Coleman Pass,4509,QLD,Australia,7
150,Bradly,Crosse,Male,6,1983-08-23,Cost Accountant,Financial Services,Affluent Customer,No,17,39,69914 Bowman Place,2330,NSW,Australia,7
151,Donnie,Brimson,Male,36,1965-01-31,Marketing Manager,Manufacturing,Mass Customer,Yes,13,58,34457 Springview Street,2759,NSW,Australia,9
152,Stephana,Cardew,Female,5,1981-03-03,Compensation Analyst,Financial Services,Mass Customer,No,16,42,992 Old Shore Trail,2069,NSW,Australia,12
153,Lorilyn,Walshe,Female,73,1977-07-28,Assistant Media Planner,Entertainment,Mass Customer,Yes,12,45,453 Sheridan Street,2747,NSW,Australia,8
154,Faydra,Dulieu,Female,90,1958-02-13,Junior Executive,Manufacturing,Mass Customer,No,11,65,8 Mccormick Crossing,2227,NSW,Australia,8
155,Orran,Bogges,Male,4,1985-12-28,Quality Engineer,Manufacturing,Mass Customer,No,10,37,63344 Holmberg Crossing,2025,NSW,Australia,10
156,Shayla,Rimmington,Female,23,1979-09-09,Cost Accountant,Financial Services,Mass Customer,Yes,11,43,9 Huxley Circle,3191,VIC,Australia,11
157,Chad,Houtby,Male,97,1974-11-23,Financial Advisor,Financial Services,Affluent Customer,No,16,48,0 Hazelcrest Road,3025,VIC,Australia,8
158,Hamlin,Odams,Male,99,1984-09-03,Internal Auditor,IT,Affluent Customer,No,5,38,2 Continental Plaza,2263,NSW,Australia,6
159,Arin,Matskevich,Male,90,1987-05-12,Research Nurse,Health,Affluent Customer,No,13,36,80 Duke Terrace,2233,NSW,Australia,10
160,Wake,Durning,Male,5,1964-07-15,Registered Nurse,Health,Mass Customer,No,18,58,860 Hintze Lane,2154,NSW,Australia,11
162,Port,Acuna,Male,90,1979-08-12,Nurse Practicioner,IT,Mass Customer,No,15,43,5 Corry Court,2119,NSW,Australia,10
163,Kessia,Helder,Female,58,1976-09-06,Librarian,Entertainment,High Net Worth,Yes,14,46,65105 Sommers Pass,3016,VIC,Australia,10
164,Aarika,Van Vuuren,Female,55,1999-08-07,Senior Editor,Retail,Affluent Customer,Yes,1,23,2054 Sommers Pass,4113,QLD,Australia,4
165,Aldon,Roelofs,Male,61,1984-03-25,Administrative Officer,Argiculture,Mass Customer,Yes,12,39,22371 Miller Trail,2032,NSW,Australia,10
166,Elston,Oleszczak,Male,54,1955-06-12,Structural Analysis Engineer,Manufacturing,Affluent Customer,No,6,67,35807 Oneill Way,4300,QLD,Australia,4
167,Nathalie,Tideswell,Female,95,1969-10-27,Registered Nurse,Health,High Net Worth,Yes,17,53,75612 Clarendon Junction,4352,QLD,Australia,6
169,Alfy,Bruhnke,Male,20,1957-10-19,Data Coordiator,Telecommunications,High Net Worth,Yes,5,65,93 Iowa Junction,2116,NSW,Australia,9
170,Jammal,Gever,Male,80,1975-06-02,Pharmacist,Health,High Net Worth,No,21,47,48 Cascade Terrace,3057,VIC,Australia,8
171,Halli,Davidoff,Female,62,1970-12-04,Assistant Manager,Manufacturing,Mass Customer,No,10,52,13950 Jackson Avenue,2099,NSW,Australia,11
172,Hilton,Carney,Male,54,1988-09-12,Editor,Manufacturing,Affluent Customer,Yes,6,34,35386 Mockingbird Road,3749,VIC,Australia,4
173,Ebba,Hanselmann,Female,99,1997-01-02,General Manager,Health,Affluent Customer,No,1,26,2 Randy Point,2766,NSW,Australia,8
174,Catie,Tosspell,Female,93,1989-11-26,Food Chemist,Health,Mass Customer,No,12,33,6898 Redwing Park,2148,NSW,Australia,9
175,Templeton,Hambrook,Male,36,1975-11-28,Quality Engineer,Manufacturing,Affluent Customer,No,5,47,52273 Bay Place,3145,VIC,Australia,11
176,Angelo,Clayal,Male,39,1992-04-13,Accountant I,Property,Mass Customer,No,10,31,272 Montana Avenue,2021,NSW,Australia,8
177,Ondrea,Pablos,Female,25,1989-11-09,Professor,Financial Services,High Net Worth,No,4,33,82520 Mifflin Drive,2333,NSW,Australia,5
179,Esteban,Sewill,Male,23,1966-05-11,Environmental Tech,Manufacturing,High Net Worth,Yes,6,57,4 Dayton Terrace,2280,NSW,Australia,9
180,Trisha,Neasham,Female,16,1971-09-17,Web Designer III,Argiculture,Affluent Customer,No,14,51,216 Barnett Junction,4120,QLD,Australia,8
181,Pavla,Braunle,Female,49,1982-11-21,Senior Editor,Manufacturing,Mass Customer,No,9,40,8256 Annamark Court,3638,VIC,Australia,1
182,Lydon,Dahlman,Male,99,1992-11-20,Sales Associate,Financial Services,Affluent Customer,Yes,7,30,83012 Dapin Lane,4300,QLD,Australia,4
183,Dannie,Hissie,Female,7,1997-08-05,Geologist III,Retail,Affluent Customer,No,3,25,8 Haas Park,2074,NSW,Australia,10
184,Nappie,Paolo,Male,40,1971-12-13,Marketing Manager,Manufacturing,High Net Worth,Yes,7,51,50 Meadow Ridge Way,2880,NSW,Australia,1
185,Crosby,Walcot,Male,80,1979-12-13,Accountant I,Property,Mass Customer,Yes,13,43,3567 Northfield Lane,2430,NSW,Australia,5
186,Mireielle,Jeppe,Female,46,1974-05-06,Software Test Engineer I,Financial Services,Mass Customer,No,3,49,0059 Brentwood Road,4560,QLD,Australia,7
187,Pincas,Ather,Male,97,1954-01-28,Structural Engineer,Property,Mass Customer,No,11,69,0274 Oneill Alley,2088,NSW,Australia,10
188,Audry,Seine,Female,54,1975-06-22,Safety Technician II,Property,High Net Worth,Yes,13,47,4179 Carioca Terrace,2220,NSW,Australia,11
189,Umberto,Torricella,Male,73,1981-07-19,Safety Technician I,Financial Services,Affluent Customer,No,10,41,59265 Sullivan Junction,3031,VIC,Australia,4
190,Hayley,Girardengo,Female,42,1979-02-04,Registered Nurse,Health,Affluent Customer,No,10,44,7 Warbler Point,2250,NSW,Australia,9
191,Christopher,Heining,Male,22,1960-04-27,Help Desk Operator,Property,Affluent Customer,Yes,6,63,3 Buell Park,2261,NSW,Australia,7
192,Goldi,Osler,Female,2,1978-11-19,Junior Executive,Health,Mass Customer,Yes,8,44,0 Bay Center,3196,VIC,Australia,6
193,Foss,Hardes,Male,13,1964-07-22,Recruiting Manager,Manufacturing,Mass Customer,Yes,12,58,10878 Waywood Way,4352,QLD,Australia,7
194,Ursala,Ferrai,Female,4,1974-11-16,Web Developer III,Financial Services,Affluent Customer,No,10,48,362 Mayer Terrace,4680,QLD,Australia,5
195,Talyah,Rylatt,Female,34,1958-11-14,Project Manager,Manufacturing,Mass Customer,No,6,64,43 Upham Crossing,3143,VIC,Australia,9
196,Swen,Odhams,Male,90,1966-02-22,Programmer Analyst II,Manufacturing,High Net Worth,No,6,57,0 Superior Drive,2747,NSW,Australia,8
